('Tony Wroten', '/players/w/wroteto01.html')
('Vander Blue', '/players/b/blueva01.html')
('Abdel Nader', '/players/n/naderab01.html')
('Jeffery Taylor', '/players/t/tayloje03.html')
('Tony Allen', '/players/a/allento01.html')
('Andrew Harrison', '/players/h/harrian01.html')
('Semi Ojeleye', '/players/o/ojelese01.html')
('Jason Smith', '/players/s/smithja02.html')
('Moochie Norris', '/players/n/norrimo01.html')
('Meyers Leonard', '/players/l/leoname01.html')
('Jodie Meeks', '/players/m/meeksjo01.html')
('Zabian Dowdell', '/players/d/dowdeza01.html')
('Mardy Collins', '/players/c/collima01.html')
('James Southerland', '/players/s/southja01.html')
('Royal Ivey', '/players/i/iveyro01.html')
('Nate Robinson', '/players/r/robinna01.html')
('Kaniel Dickens', '/players/d/dickeka01.html')
('William Avery', '/players/a/averywi01.html')
('Mark Jackson', '/players/j/jacksma01.html')
('Lee Nailon', '/players/n/nailole01.html')
('Thomas Welsh', '/players/w/welshth01.html')
('Antoine Carr', '/players/c/carran01.html')
('Jerome Kersey', '/players/k/kerseje01.html')
('Kyle Singler', '/players/s/singlky01.html')
('Sheldon Mac', '/players/m/mcclesh01.html')
('Ervin Johnson', '/players/j/johnser02.html')
('Mitchell Butler', '/players/b/butlemi02.html')
('Soumaila Samake', '/players/s/samakso01.html')
('Jimmer Fredette', '/players/f/fredeji01.html')
('Rick Fox', '/players/f/foxri01.html')
('Ike Diogu', '/players/d/dioguik01.html')
('Jay Williams', '/players/w/willija03.html')
('Jeremy Pargo', '/players/p/pargoje01.html')
('Jabari Smith', '/players/s/smithja01.html')
('Renaldo Balkman', '/players/b/balkmre01.html')
('Alvin Jones', '/players/j/jonesal01.html')
('Leon Smith', '/players/s/smithle01.html')
('Stanley Johnson', '/players/j/johnsst04.html')
('Felipe López', '/players/l/lopezfe01.html')
('Isaiah Thomas', '/players/t/thomais02.html')
('Terrell Brandon', '/players/b/brandte01.html')
('Dana Barros', '/players/b/barroda01.html')
('Tony Parker', '/players/p/parketo01.html')
('Jeff Teague', '/players/t/teaguje01.html')
('Troy Williams', '/players/w/willitr02.html')
('Donald Sloan', '/players/s/sloando01.html')
('Jeremy Tyler', '/players/t/tylerje01.html')
('Vinny Del Negro', '/players/d/delnevi01.html')
('Brandon Knight', '/players/k/knighbr03.html')
('Julius Hodge', '/players/h/hodgeju01.html')
('Chucky Brown', '/players/b/brownch01.html')
('Joel Bolomboy', '/players/b/bolomjo01.html')
('Šarūnas Jasikevičius', '/players/j/jasiksa01.html')
('Jamaal Magloire', '/players/m/magloja01.html')
('Robert Traylor', '/players/t/traylro01.html')
('Marcus Landry', '/players/l/landrma01.html')
('Rik Smits', '/players/s/smitsri01.html')
('Elfrid Payton', '/players/p/paytoel01.html')
('Garret Siler', '/players/s/silerga01.html')
('Sundiata Gaines', '/players/g/gainesu01.html')
('Donatas Motiejūnas', '/players/m/motiedo01.html')
('Antonius Cleveland', '/players/c/clevean01.html')
('DeAndre Jordan', '/players/j/jordade01.html')
('Kareem Rush', '/players/r/rushka01.html')
('Vassilis Spanoulis', '/players/s/spanova01.html')
('J.J. Redick', '/players/r/redicjj01.html')
('Marreese Speights', '/players/s/speigma01.html')
('Othella Harrington', '/players/h/harriot01.html')
('Goran Dragić', '/players/d/dragigo01.html')
('Rashad Vaughn', '/players/v/vaughra01.html')
('Ryan Hollins', '/players/h/holliry01.html')
('Stéphane Lasme', '/players/l/lasmest01.html')
('Antonio McDyess', '/players/m/mcdyean01.html')
('Isaiah Hicks', '/players/h/hicksis01.html')
('Tierre Brown', '/players/b/brownti01.html')
('Eddie Gill', '/players/g/gilled01.html')
('Chris Mullin', '/players/m/mullich01.html')
('Mario Kasun', '/players/k/kasunma01.html')
